Step,AUROC,Precision,Recall,F1 score,Random Seed
2799,0.4632731958762887,0.23529411764705882,0.25,0.24242424242424243,2
5998,0.6462628865979382,0.29411764705882354,0.3125,0.30303030303030304,2
6082,0.6481958762886597,0.29411764705882354,0.3125,0.30303030303030304,2
6166,0.6501288659793814,0.29411764705882354,0.3125,0.30303030303030304,2
6250,0.6527061855670102,0.29411764705882354,0.3125,0.30303030303030304,2
6334,0.657860824742268,0.29411764705882354,0.3125,0.30303030303030304,2
6418,0.6617268041237113,0.29411764705882354,0.3125,0.30303030303030304,2
6502,0.6630154639175257,0.29411764705882354,0.3125,0.30303030303030304,2
6586,0.663659793814433,0.29411764705882354,0.3125,0.30303030303030304,2
6670,0.6655927835051547,0.29411764705882354,0.3125,0.30303030303030304,2
