Step,AUROC,Precision,Recall,F1 score,Random Seed
2799,0.36404639175257736,0.17647058823529413,0.1875,0.1818181818181818,2
5998,0.2854381443298969,0.11764705882352941,0.125,0.12121212121212122,2
6082,0.2815721649484536,0.11764705882352941,0.125,0.12121212121212122,2
6166,0.27835051546391754,0.11764705882352941,0.125,0.12121212121212122,2
6250,0.2757731958762887,0.11764705882352941,0.125,0.12121212121212122,2
6334,0.27448453608247425,0.11764705882352941,0.125,0.12121212121212122,2
6418,0.26868556701030927,0.11764705882352941,0.125,0.12121212121212122,2
6502,0.2667525773195876,0.11764705882352941,0.125,0.12121212121212122,2
6586,0.26610824742268036,0.11764705882352941,0.125,0.12121212121212122,2
6670,0.26739690721649484,0.11764705882352941,0.125,0.12121212121212122,2
