Step,AUROC,Precision,Recall,F1 score,Random Seed
2799,0.4768041237113403,0.23529411764705882,0.25,0.24242424242424243,2
5998,0.6668814432989691,0.29411764705882354,0.3125,0.30303030303030304,2
6082,0.6707474226804123,0.29411764705882354,0.3125,0.30303030303030304,2
6166,0.6746134020618557,0.29411764705882354,0.3125,0.30303030303030304,2
6250,0.6765463917525774,0.29411764705882354,0.3125,0.30303030303030304,2
6334,0.6804123711340206,0.29411764705882354,0.3125,0.30303030303030304,2
6418,0.6791237113402062,0.29411764705882354,0.3125,0.30303030303030304,2
6502,0.6791237113402062,0.29411764705882354,0.3125,0.30303030303030304,2
6586,0.6791237113402062,0.29411764705882354,0.3125,0.30303030303030304,2
6670,0.6823453608247423,0.29411764705882354,0.3125,0.30303030303030304,2
