Step,AUROC,Precision,Recall,F1 score,Random Seed
2799,0.41237113402061853,0.11764705882352941,0.125,0.12121212121212122,2
5998,0.6920103092783505,0.35294117647058826,0.375,0.3636363636363636,2
6082,0.6952319587628867,0.35294117647058826,0.375,0.3636363636363636,2
6166,0.6952319587628866,0.35294117647058826,0.375,0.3636363636363636,2
6250,0.6971649484536082,0.35294117647058826,0.375,0.3636363636363636,2
6334,0.6984536082474226,0.35294117647058826,0.375,0.3636363636363636,2
6418,0.7003865979381444,0.35294117647058826,0.375,0.3636363636363636,2
6502,0.6997422680412372,0.35294117647058826,0.375,0.3636363636363636,2
6586,0.6997422680412372,0.35294117647058826,0.375,0.3636363636363636,2
6670,0.6971649484536083,0.35294117647058826,0.375,0.3636363636363636,2
