Step,AUROC,Precision,Recall,F1 score,Random Seed
2799,0.6030927835051546,0.35294117647058826,0.375,0.3636363636363636,2
5998,0.6423969072164949,0.1415929203539823,1.0,0.24806201550387597,2
6082,0.6449742268041238,0.1415929203539823,1.0,0.24806201550387597,2
6166,0.6417525773195877,0.1415929203539823,1.0,0.24806201550387597,2
6250,0.6385309278350515,0.35294117647058826,0.375,0.3636363636363636,2
6334,0.6359536082474226,0.35294117647058826,0.375,0.3636363636363636,2
6418,0.6320876288659794,0.35294117647058826,0.375,0.3636363636363636,2
6502,0.6585051546391752,0.35294117647058826,0.375,0.3636363636363636,2
6586,0.6572164948453608,0.29411764705882354,0.3125,0.30303030303030304,2
6670,0.6842783505154639,0.29411764705882354,0.3125,0.30303030303030304,2
